127.0.0.1 - - [29/Sep/2024:21:37:45 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [29/Sep/2024:21:37:46 +0700] "GET /baitap1-10/DatHang.jsp HTTP/1.1" 500 2692
0:0:0:0:0:0:0:1 - - [29/Sep/2024:21:37:46 +0700] "GET /favicon.ico HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [29/Sep/2024:21:38:09 +0700] "GET /baitap1-10/DatHang.jsp HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [29/Sep/2024:21:38:30 +0700] "POST /baitap1-10/DatHang.jsp HTTP/1.1" 200 859
0:0:0:0:0:0:0:1 - - [29/Sep/2024:21:38:34 +0700] "POST /baitap1-10/sua.jsp?th=may%20tinh HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [29/Sep/2024:21:41:43 +0700] "GET /baitap1-10/Sua.jsp HTTP/1.1" 500 2990
0:0:0:0:0:0:0:1 - - [29/Sep/2024:21:41:49 +0700] "GET /baitap1-10/DatHang.jsp HTTP/1.1" 200 859
0:0:0:0:0:0:0:1 - - [29/Sep/2024:21:42:09 +0700] "POST /baitap1-10/DatHang.jsp HTTP/1.1" 200 1103
0:0:0:0:0:0:0:1 - - [29/Sep/2024:21:42:15 +0700] "POST /baitap1-10/sua.jsp?th=thanhngan HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [29/Sep/2024:21:42:19 +0700] "POST /baitap1-10/sua.jsp?th=thanhngan HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [29/Sep/2024:21:43:00 +0700] "GET /baitap1-10/Sua.jsp HTTP/1.1" 500 2996
0:0:0:0:0:0:0:1 - - [29/Sep/2024:21:44:39 +0700] "GET /baitap1-10/Sua.jsp HTTP/1.1" 500 2996
0:0:0:0:0:0:0:1 - - [29/Sep/2024:21:45:36 +0700] "GET /baitap1-10/Sua.jsp HTTP/1.1" 500 2990
0:0:0:0:0:0:0:1 - - [29/Sep/2024:21:45:46 +0700] "GET /baitap1-10/Sua.jsp HTTP/1.1" 500 2884
0:0:0:0:0:0:0:1 - - [29/Sep/2024:21:47:25 +0700] "GET /baitap1-10/DatHang.jsp HTTP/1.1" 200 1103
0:0:0:0:0:0:0:1 - - [29/Sep/2024:21:47:29 +0700] "POST /baitap1-10/sua.jsp?th=may%20tinh HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [29/Sep/2024:21:47:45 +0700] "POST /baitap1-10/sua.jsp?th=may%20tinh HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [29/Sep/2024:21:47:49 +0700] "POST /baitap1-10/sua.jsp?th=may%20tinh HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [29/Sep/2024:22:01:14 +0700] "GET /baitap1-10/DatHang.jsp HTTP/1.1" 200 1103
0:0:0:0:0:0:0:1 - - [29/Sep/2024:22:02:00 +0700] "GET /baitap1-10/DatHang.jsp HTTP/1.1" 200 1133
0:0:0:0:0:0:0:1 - - [29/Sep/2024:22:17:32 +0700] "GET /baitap1-10/DatHang.jsp HTTP/1.1" 200 2254
0:0:0:0:0:0:0:1 - - [29/Sep/2024:22:17:43 +0700] "POST /baitap1-10/DatHang.jsp HTTP/1.1" 200 661
0:0:0:0:0:0:0:1 - - [29/Sep/2024:22:18:11 +0700] "POST /baitap1-10/DatHang.jsp HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [29/Sep/2024:22:18:12 +0700] "POST /baitap1-10/DatHang.jsp HTTP/1.1" 500 3050
0:0:0:0:0:0:0:1 - - [29/Sep/2024:22:18:18 +0700] "POST /baitap1-10/DatHang.jsp HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [29/Sep/2024:22:20:48 +0700] "POST /baitap1-10/DatHang.jsp HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [29/Sep/2024:22:21:00 +0700] "POST /baitap1-10/DatHang.jsp HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [29/Sep/2024:22:21:30 +0700] "POST /baitap1-10/DatHang.jsp HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [29/Sep/2024:22:21:42 +0700] "POST /baitap1-10/DatHang.jsp HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [29/Sep/2024:22:45:05 +0700] "GET /baitap1-10/DatHang.jsp HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [29/Sep/2024:22:45:13 +0700] "POST /baitap1-10/sua.jsp?th=1 HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [29/Sep/2024:22:46:21 +0700] "POST /baitap1-10/sua.jsp?th=1 HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [29/Sep/2024:22:46:24 +0700] "GET /baitap1-10/DatHang.jsp HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [29/Sep/2024:22:46:26 +0700] "GET /baitap1-10/DatHang.jsp HTTP/1.1" 200 836
