127.0.0.1 - - [16/Sep/2024:16:43:26 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:43:27 +0700] "GET /baitap17-9/baitap_dangki.jsp HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:43:27 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:51:39 +0700] "GET /baitap17-9/baitap_dangki.jsp HTTP/1.1" 200 22387
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:51:39 +0700] "GET /baitap17-9/images/icons/closefanbox.gif HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:51:39 +0700] "GET /baitap17-9/loginfb.jpg HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:51:40 +0700] "GET /favicon.ico HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:53:43 +0700] "GET /baitap17-9/baitap_dangki.jsp HTTP/1.1" 200 22327
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:53:43 +0700] "GET /baitap17-9/images/icons/closefanbox.gif HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:53:43 +0700] "GET /baitap17-9/loginfb.jpg HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:53:44 +0700] "GET /baitap17-9/baitap_dangki.jsp HTTP/1.1" 200 22327
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:53:44 +0700] "GET /baitap17-9/images/icons/closefanbox.gif HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:53:44 +0700] "GET /baitap17-9/loginfb.jpg HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:56:50 +0700] "GET /baitap17-9/baitap_dangki.jsp HTTP/1.1" 200 22390
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:56:50 +0700] "GET /baitap17-9/loginfb.jpg HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:56:50 +0700] "GET /baitap17-9/images/icons/closefanbox.gif HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:56:50 +0700] "GET /baitap17-9/dangki.css HTTP/1.1" 200 1276
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:56:50 +0700] "GET /images/icons/bulletlogin4x4.gif HTTP/1.1" 404 1067
